ID,PARTEINAME,JAHR,MONAT,TAG,ÜBERSCHRIFT
1508,AfD,2013,4,13,Euro-Protestpartei Alternative für Deutschland (AfD): Wir koalieren mit niemandem!
1540,AfD,2013,4,14,Eurokritische Partei AfD gründet sich in Berlin - Newsticker - Die aktuellsten Nachrichten
1614,AfD,2013,4,19,AfD: Wird die Anti-Euro-Partei von der NPD unterwandert
1616,AfD,2013,4,20,Schäuble warnt Unionswähler vor Wechsel zur Anti-Euro-Partei AfD - Newsticker - Die aktuellsten Nachrichten
1622,AfD,2013,4,20,Rechte drängen in die AfD: Fahnenschwenker war auch bei NPD-Veranstaltungen
1637,AfD,2013,4,22,Neue Anti-Euro-Partei AfD gründet Südwest-Landesverband
1675,AfD,2013,4,24,Geheimpapier: FDP sieht AfD als große Konkurrenz für CDU/CSU
1778,AfD,2013,4,28,AfD-Sprecher: Zweistelliges Ergebnis bei Bundestagswahl möglich - Newsticker - Die aktuellsten Nachrichten
1787,AfD,2013,4,29,INSA-YouGov-Meinungstrend: Umfrage-Klatsche für Euro-Hasser AfD
1857,AfD,2013,5,4,AfD rechnet mit Einzug in den Bundestag
1881,AfD,2013,5,5,Südwest-AfD zieht mit Rechnungshofbeamten in Bundestagswahlkampf
1887,AfD,2013,5,5,AfD NRW zieht mit Wirtschaftswissenschaftler in Bundestagswahlkampf
1888,AfD,2013,5,5,AfD NRW zieht mit Wirtschaftswissenschaftler in Bundestagswahlkampf
1889,AfD,2013,5,5,AfD NRW zieht mit Wirtschaftswissenschaftler in Bundestagswahlkampf
1925,AfD,2013,5,8,AfD Zustrom auch in NRW groß
1926,AfD,2013,5,8,AfD Zustrom auch in NRW groß
1927,AfD,2013,5,8,AfD Zustrom auch in NRW groß
1967,AfD,2013,5,13,Entwicklungsminister Dirk Niebel: Cousin geht von der FDP zur AfD
1976,AfD,2013,5,13,Niebels Cousin wechselt von der FDP zur AfD
2030,AfD,2013,5,17,«Bild»: AfD stellt niedersächsische Landesliste neu auf
2039,AfD,2013,5,20,Partei AfD sammelt Unterschriften für Bundestagswahl
2043,AfD,2013,5,21,Paulus erstmals als Mitglied der AfD bei Plenarsitzung des Landtags
2151,AfD,2013,5,26,AfD hat Probleme mit juristischen Vorgaben zur Bundestagswahl - Newsticker - Die aktuellsten Nachrichten
2152,AfD,2013,5,26,Ex-Schatzmeister Wächter neuer Chef der AfD in Bayern
2183,AfD,2013,5,29,Lammert nimmt eurokritische Partei AfD in Schutz
2202,AfD,2013,5,30,Union und SPD: Keine Tolerierung durch AfD nach Bundestagswahl
2295,AfD,2013,6,10,AfD rechnet bei Bundestagswahl in Hamburg mit zehn Prozent
2339,AfD,2013,6,14,AfD nominiert Wahlliste - Vorstandssprecher ausgetreten
2345,AfD,2013,6,15,AfD stellt Landesliste auf: Wahlprogramm als Entwurf verabschiedet
2419,AfD,2013,6,24,BILD-Wahlcheck: AfD bricht dramatisch ein
2507,AfD,2013,7,7,AfD: Genug Unterschriften für Zulassung zur Bundestagswahl
2570,AfD,2013,7,15,AfD tritt in allen 16 Ländern zur Bundestagswahl an
2582,AfD,2013,7,15,Wissenschaftler: AfD droht Zerfall wie einst der Schill-Partei
2607,AfD,2013,7,18,Liste der AfD geändert
2608,AfD,2013,7,18,Liste der AfD geändert
2768,AfD,2013,8,7,"AfD, Piraten & Co.: Entscheiden die KLEINEN die Bundestagswahl?"
2910,AfD,2013,8,17,AfD-Spitzenkandidat Lucke: Regierung «desaströs gescheitert»
2968,AfD,2013,8,24,"Drei Festnahmen, 16 Verletzte Messer-Angriff auf  AfD-Chef Lucke!"
2969,AfD,2013,8,24,AfD-Parteichef Lucke bei Wahlkampfveranstaltung angegriffen - Newsticker - Die aktuellsten Nachrichten
2970,AfD,2013,8,24,AfD-Parteichef Lucke bei Wahlkampfveranstaltung angegriffen
2978,AfD,2013,8,25,AfD-Parteichef Lucke bei Wahlkampfveranstaltung angegriffen - Newsticker - Die aktuellsten Nachrichten
2986,AfD,2013,8,26,Polizeischutz für AfD: Lucke fordert Durchgreifen gegen Gewalt - Newsticker - Die aktuellsten Nachrichten
2990,AfD,2013,8,26,Nach Angriff auf AfD-Parteichef drei Verdächtige wieder frei
3013,AfD,2013,8,27,AfD-Helfer in Bonn attackiert: Staatsschutz ermittelt
3014,AfD,2013,8,27,AfD-Helfer in Bonn attackiert: Staatsschutz ermittelt
